,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Port Alfred,92,ZA,1548918414,99,-33.59,26.89,68.8,7.96
1,Khatanga,68,RU,1548918470,0,71.98,102.47,-35.42,3.94
2,Saskylakh,76,RU,1548918409,61,71.97,114.09,-13.06,10.76
3,Yellowknife,90,CA,1548914400,76,62.45,-114.38,-7.61,5.82
4,Punta Arenas,90,CL,1548914400,81,-53.16,-70.91,42.8,9.17
5,Portobelo,40,PA,1548918000,83,9.55,-79.65,73.4,5.82
7,Albany,1,US,1548917520,39,42.65,-73.75,-0.05,11.41
8,Mansfield,90,US,1548917700,54,32.56,-97.14,43.88,5.82
10,Pacific Grove,90,US,1548917700,77,36.62,-121.92,55.94,3.36
11,Swift Current,90,CA,1548915960,79,50.29,-107.8,23,18.34
12,Ilulissat,56,GL,1548913800,65,69.22,-51.1,6.8,10.29
13,Richards Bay,0,ZA,1548918828,69,-28.77,32.06,78.3,11.43
14,Ushuaia,75,AR,1548914400,80,-54.81,-68.31,41,9.17
15,Busselton,0,AU,1548918425,71,-33.64,115.35,79.06,1.14
17,Balkhash,90,KZ,1548916200,92,46.84,74.98,12.2,11.18
18,Kaitangata,8,NZ,1548918447,71,-46.28,169.85,78.88,6.29
19,Yar-Sale,8,RU,1548918584,0,66.83,70.83,-38.53,4.61
20,Leningradskiy,24,RU,1548918830,84,69.38,178.42,-8.92,19.37
21,Severo-Kurilsk,92,RU,1548918467,100,50.68,156.12,30.42,8.41
22,East London,75,ZA,1548914400,83,-33.02,27.91,73.4,10.29
23,Chokurdakh,0,RU,1548918444,0,70.62,147.9,-52.12,2.93
24,Vaini,24,IN,1548914400,39,15.34,74.49,78.8,6.93
25,Moroto,0,UG,1548918831,45,2.53,34.66,73.62,7.07
26,Jamestown,0,AU,1548918421,39,-33.21,138.6,80.41,8.97
27,Noumea,75,NC,1548918000,73,-22.28,166.46,77,14.99
28,Coffs Harbour,80,AU,1548916200,69,-30.3,153.13,86,18.34
29,Hermanus,92,ZA,1548918420,90,-34.42,19.24,64.03,5.06
30,Tomatlan,0,MX,1548918832,85,19.93,-105.25,55.98,2.15
31,Zarubino,0,RU,1548918833,89,42.65,131.06,19.75,14.79
32,Baghdad,0,IQ,1548918000,77,33.3,44.38,59,8.05
33,Rikitea,80,PF,1548918410,97,-23.12,-134.97,81.36,9.42
34,Cabo San Lucas,5,MX,1548913320,55,22.89,-109.91,62.6,4.7
35,Semey,40,KZ,1548916200,62,50.41,80.25,19.4,20.13
36,Innisfail,90,CA,1548914400,86,52.02,-113.95,30.2,2.24
37,Caravelas,80,BR,1548918495,100,-17.73,-39.27,82.26,10.31
38,Port Lincoln,0,AU,1548918462,78,-34.72,135.86,68.67,17.02
39,Cascais,75,PT,1548916200,93,38.7,-9.42,57.2,12.75
40,Batemans Bay,36,AU,1548918835,61,-35.71,150.18,82.3,5.39
41,Butaritari,92,KI,1548918432,100,3.07,172.79,84.24,14.12
42,Avarua,20,CK,1548914400,78,-21.21,-159.78,82.4,9.17
43,Kapaa,75,US,1548914160,86,22.08,-159.32,71.96,25.28
44,Dingle,88,PH,1548918477,60,11,122.67,83.56,14.79
45,Ribeira Grande,92,PT,1548918423,97,38.52,-28.7,62.28,20.83
46,Valparaiso,1,US,1548917700,68,41.47,-87.06,-11.21,5.82
48,Athabasca,44,CA,1548918382,83,54.72,-113.29,25.74,8.75
49,Thompson,5,CA,1548914400,72,55.74,-97.86,-41.81,2.59
50,Ostrovnoy,88,RU,1548918837,84,68.05,39.51,8.95,14.34
51,Kodiak,1,US,1548916500,49,39.95,-94.76,1.04,6.93
